id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun,titik_longitude,titik_latitude
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,20173,KUINTAL,2015,106.943229,-6.419667
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,116623,KUINTAL,2015,106.726667,-6.924444
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,86305,KUINTAL,2015,107.133884,-6.808453
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,27217,KUINTAL,2015,107.619125,-7.000834
59,32,JAWA BARAT,3205,KABUPATEN GARUT,159015,KUINTAL,2015,107.960833,-7.2275
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,35218,KUINTAL,2015,108.201483,-7.3506
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,25151,KUINTAL,2015,108.351623,-7.340407
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,321089,KUINTAL,2015,108.454429,-7.028047
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,374433,KUINTAL,2015,108.69838,-6.909986
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,643949,KUINTAL,2015,108.188,-7.048993
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,234910,KUINTAL,2015,108.220833,-6.8425
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,687370,KUINTAL,2015,107.949444,-6.477028
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,83099,KUINTAL,2015,107.636211,-6.293275
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,70588,KUINTAL,2015,107.446042,-6.573098
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,136161,KUINTAL,2015,107.1419,-6.289
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,5726,KUINTAL,2015,106.97803,-6.14038
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20072,KUINTAL,2015,107.544358,-6.828014
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14079,KUINTAL,2015,108.5119,-7.613053
73,32,JAWA BARAT,3271,KOTA BOGOR,9944,KUINTAL,2015,106.79324,-6.5964
74,32,JAWA BARAT,3272,KOTA SUKABUMI,465,KUINTAL,2015,106.92724,-6.91897
75,32,JAWA BARAT,3273,KOTA BANDUNG,1087,KUINTAL,2015,107.619123,-6.917464
76,32,JAWA BARAT,3274,KOTA CIREBON,3241,KUINTAL,2015,108.552316,-6.732024
77,32,JAWA BARAT,3275,KOTA BEKASI,18741,KUINTAL,2015,106.9896,-6.234897
78,32,JAWA BARAT,3276,KOTA DEPOK,906,KUINTAL,2015,106.828304,-6.402484
79,32,JAWA BARAT,3277,KOTA CIMAHI,177,KUINTAL,2015,107.541899,-6.87202
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3426,KUINTAL,2015,108.2202,-7.3274
81,32,JAWA BARAT,3279,KOTA BANJAR,3090,KUINTAL,2015,108.543615,-7.377383
