nama_kabupaten_kota,tahun,produksi_mangga
KABUPATEN BANDUNG BARAT,2020,21173
KABUPATEN BEKASI,2018,20580
KABUPATEN PURWAKARTA,2016,20380
KABUPATEN BOGOR,2015,20173
KABUPATEN BANDUNG BARAT,2015,20072
KABUPATEN TASIKMALAYA,2017,19683
KABUPATEN BANDUNG,2016,19535
KOTA BEKASI,2021,19498
KABUPATEN CIAMIS,2016,19356
KABUPATEN SUKABUMI,2022,19352
KOTA BEKASI,2020,18853
KOTA BEKASI,2015,18741
KABUPATEN PURWAKARTA,2013,17737
KABUPATEN BANDUNG BARAT,2016,16858
KOTA CIREBON,2019,16706
KABUPATEN PANGANDARAN,2014,16669
KOTA BANJAR,2022,16655
KABUPATEN BANDUNG BARAT,2017,15118
KABUPATEN BANDUNG BARAT,2018,14238
KABUPATEN CIAMIS,2017,14202
KOTA BANJAR,2019,14182
KABUPATEN PANGANDARAN,2015,14079
KOTA BEKASI,2017,13204
KOTA TASIKMALAYA,2019,13006
KABUPATEN TASIKMALAYA,2016,12610
KABUPATEN PANGANDARAN,2019,12291
KOTA BANJAR,2020,12240
KOTA BOGOR,2018,11412
KOTA BOGOR,2017,11153
KOTA BEKASI,2019,11112
KOTA BOGOR,2019,10902
KABUPATEN BOGOR,2016,10798
KOTA BANJAR,2013,10727
KABUPATEN PANGANDARAN,2018,10059
KOTA BOGOR,2015,9944
KABUPATEN BANDUNG BARAT,2013,9691
KOTA BEKASI,2014,9129
KOTA BANJAR,2014,8708
KOTA BEKASI,2016,8550
KOTA BEKASI,2013,8539
KOTA BOGOR,2016,8222
KOTA BEKASI,2018,8198
KOTA TASIKMALAYA,2020,8117
KABUPATEN BEKASI,2016,7171
KOTA CIREBON,2016,6962
KOTA DEPOK,2013,6213
KABUPATEN BEKASI,2015,5726
KOTA BANJAR,2017,5478
KOTA BOGOR,2013,5246
KOTA BANJAR,2018,5237
KOTA TASIKMALAYA,2021,4932
KOTA BOGOR,2020,4772
KABUPATEN PANGANDARAN,2016,4699
KOTA CIREBON,2017,4618
KOTA TASIKMALAYA,2018,4478
KOTA TASIKMALAYA,2013,4445
KOTA BOGOR,2014,4260
KABUPATEN PANGANDARAN,2020,3996
KOTA BOGOR,2021,3979
KOTA CIREBON,2013,3932
KOTA TASIKMALAYA,2017,3798
KOTA CIREBON,2021,3783
KOTA CIREBON,2014,3509
KOTA TASIKMALAYA,2015,3426
KOTA CIREBON,2015,3241
KOTA BANJAR,2015,3090
KOTA TASIKMALAYA,2014,3066
KOTA DEPOK,2018,3002
KOTA DEPOK,2014,2745
KOTA DEPOK,2019,2219
KOTA DEPOK,2021,1661
KOTA BANDUNG,2014,1593
KOTA DEPOK,2022,1577
KOTA DEPOK,2020,1558
KOTA DEPOK,2017,1529
KOTA BANDUNG,2019,1120
KOTA BANDUNG,2015,1087
KOTA BOGOR,2022,1050
KOTA TASIKMALAYA,2016,1000
KOTA BANDUNG,2013,997
KOTA SUKABUMI,2013,949
KOTA TASIKMALAYA,2022,918
KOTA DEPOK,2015,906
KOTA CIMAHI,2013,900
KOTA DEPOK,2016,793
KOTA CIREBON,2022,703
KOTA SUKABUMI,2014,677
KOTA CIMAHI,2014,660
KOTA BANJAR,2016,651
KOTA SUKABUMI,2015,465
KABUPATEN PANGANDARAN,2017,334
KOTA BANDUNG,2020,330
KOTA SUKABUMI,2016,283
KABUPATEN PANGANDARAN,2021,279
KOTA CIMAHI,2021,200
KOTA SUKABUMI,2017,185
KOTA CIMAHI,2015,177
KOTA BANDUNG,2018,174
KOTA CIMAHI,2020,128
KOTA BANDUNG,2016,126
KOTA SUKABUMI,2018,122
KOTA CIMAHI,2022,112
KOTA CIMAHI,2018,105
KOTA BANDUNG,2017,85
KABUPATEN PANGANDARAN,2022,78
KOTA CIMAHI,2016,74
KOTA BANDUNG,2021,50
KOTA CIMAHI,2019,49
KOTA SUKABUMI,2019,41
KOTA CIMAHI,2017,39
KOTA BANDUNG,2022,28
KOTA SUKABUMI,2021,0
KOTA SUKABUMI,2020,0
KOTA SUKABUMI,2022,0
KABUPATEN PANGANDARAN,2013,0
