id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_mangga,satuan,tahun
74,32,JAWA BARAT,3272,KOTA SUKABUMI,465,KUINTAL,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,1087,KUINTAL,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,3241,KUINTAL,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,18741,KUINTAL,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,906,KUINTAL,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,177,KUINTAL,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3426,KUINTAL,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,3090,KUINTAL,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,10798,KUINTAL,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62789,KUINTAL,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,84780,KUINTAL,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19535,KUINTAL,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,92443,KUINTAL,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12610,KUINTAL,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19356,KUINTAL,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,129195,KUINTAL,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,310862,KUINTAL,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,375293,KUINTAL,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,234025,KUINTAL,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,906435,KUINTAL,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,71905,KUINTAL,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,20380,KUINTAL,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,195269,KUINTAL,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,7171,KUINTAL,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16858,KUINTAL,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4699,KUINTAL,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,8222,KUINTAL,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,283,KUINTAL,2016
